epoch,train_loss_s,val_loss_s,train_loss_c,val_loss_c,ade,fde,aiou,fiou,intention_acc
0,0.11676581241190434,0.16086923827727637,0.6813175916671753,0.671903153260549,33.709357261657715,65.33447519938152,0.47024693588415784,0.24747118850549063,0.13
1,0.11638795360922813,0.16196559369564056,0.6606422901153565,0.6475815574328104,33.8437385559082,65.64273198445638,0.47183865308761597,0.24919664363066354,0.13
2,0.11590911149978637,0.1628131369749705,0.6362441599369049,0.6232433319091797,33.96424357096354,66.0080337524414,0.472300906976064,0.2491491287946701,0.12666666666666668
3,0.11547295358031988,0.162055733303229,0.6114681541919709,0.5983139475186666,33.85757350921631,65.90191968282063,0.4731288254261017,0.24764089783032736,0.6816666666666666
4,0.11521900594234466,0.14424681415160498,0.5851790249347687,0.5713680187861124,33.12607065836588,64.56631215413411,0.48075159390767414,0.25561198343833286,0.8716666666666667
5,0.11477121450006962,0.16017510866125426,0.5566127181053162,0.5420566399892172,33.42973963419596,65.2744681040446,0.48074815173943836,0.25527936468521756,0.8733333333333333
6,0.1143328633159399,0.15850572288036346,0.5237467765808106,0.5077844113111496,32.95405673980713,64.45846494038899,0.485519935687383,0.26016655812660855,0.87
7,0.11386912129819393,0.15145815536379814,0.4837487801909447,0.463961660861969,32.16956297556559,63.022434870402016,0.4892350633939107,0.26364371180534363,0.8733333333333333
8,0.11323326788842678,0.14240103339155516,0.4294216260313988,0.4026378740866979,32.4779847462972,63.77579116821289,0.49021175503730774,0.26395492255687714,0.875
9,0.11255947314202785,0.15518511707584062,0.3521705478429794,0.32241250077883404,32.26051298777262,63.471103032430015,0.4941644569238027,0.26806221902370453,0.87
10,0.1116493783891201,0.15356885641813278,0.26515086069703103,0.2724259172876676,31.808530807495117,62.77425193786621,0.5010615537563959,0.27407510330279666,0.8733333333333333
11,0.1096169900149107,0.1518974850575129,0.23644200935959817,0.27760237952073413,31.357864061991375,62.070997873942055,0.5059904605150223,0.27794337272644043,0.8733333333333333
12,0.1086300801485777,0.14985972394545874,0.23232079818844795,0.2727726623415947,30.703243891398113,60.915412267049156,0.5143328557411829,0.2864374468723933,0.87
13,0.10536862574517727,0.14219468707839647,0.22828823700547218,0.2573821817835172,29.074272791544598,57.80091222127279,0.5302330752213796,0.30300602813561756,0.8766666666666667
14,0.10104087963700295,0.13470687717199326,0.22505385354161261,0.266694816450278,27.32733090718587,54.10968017578125,0.5516693790753683,0.33310988545417786,0.8716666666666667
15,0.09505634885281325,0.1266549602150917,0.21924713253974915,0.259003313879172,25.505962371826172,50.349278132120766,0.572342723608017,0.3588052839040756,0.8733333333333333
16,0.08892671540379524,0.11859727278351784,0.21907308399677278,0.26081225524346036,23.7534278233846,46.93755213419596,0.5920337537924448,0.37967030704021454,0.87
17,0.08454200550913811,0.11614874750375748,0.21650670245289802,0.25675877928733826,23.167230288187664,46.204416275024414,0.5947072505950928,0.3683871229489644,0.8733333333333333
18,0.08223477099090815,0.11454304431875546,0.2142534524202347,0.2498626559972763,22.85536289215088,45.75506846110026,0.592378556728363,0.3587390234073003,0.875
19,0.08088302537798882,0.11269692952434222,0.21245550885796546,0.25405970712502796,22.036271413167317,44.18426831563314,0.6041258374849955,0.3727903465429942,0.8733333333333333
20,0.07822593264281749,0.11037776991724968,0.21105717793107032,0.253615399201711,21.443552652994793,42.93746248881022,0.6095915536085764,0.3804766635100047,0.8716666666666667
21,0.07808144968003035,0.10734594116608302,0.2093777794390917,0.24602646132310232,20.670355796813965,41.37102381388346,0.6201167007287344,0.396443968017896,0.875
22,0.07660774383693933,0.10673887034257253,0.20788206681609153,0.24863852312167486,19.847079912821453,39.56939697265625,0.6355349918206533,0.4235030959049861,0.8716666666666667
23,0.07533383388072253,0.10533051565289497,0.2067793056368828,0.24611880630254745,19.349470774332683,38.20725758870443,0.6436920265356699,0.4397677928209305,0.8733333333333333
